Filename,StartLoss,EndLoss
cleaned_PP-0803_papiamento.txt, 0.6447815642058801, 0.7983018862304373
cleaned_25. Le PP en catalan.txt, 0.6550093301207396, 0.8964879190507192
cleaned_84. Le PP en Crokle vincentien.txt, 0.6214702186499861, 0.7714546373925464
cleaned_27. Le PP en armenien.txt, 0.7510162961554383, 0.7306268207695482
cleaned_32. Le PP en hebreu.txt, 0.44312673395269997, 0.593779145167393
cleaned_43. Le PP en Sranan.txt, 0.6060478164383334, 0.7681149933761904
cleaned_3. Le PP en viet.txt, 0.6509799401045642, 0.8133307087631162
cleaned_67. Le PP en Jawi.txt, 0.6807542587361499, 0.732579863096729
cleaned_57. Le PP en Karne.txt, 0.5339159306709194, 0.6221026096170512
cleaned_63. Le PP en Maya Tojobal.txt, 0.6202346182773866, 0.7511139217431051
